GeoType,GeoID,GeoName,county_id,population,affectweather,affectweatherOppose,citizens,citizensOppose,congress,congressOppose,consensus,consensusOppose,corporations,corporationsOppose,devharm,devharmOppose,discuss,discussOppose,drillanwr,drillanwrOppose,drilloffshore,drilloffshoreOppose,exp,expOppose,fundrenewables,fundrenewablesOppose,futuregen,futuregenOppose,generaterenewable,generaterenewableOppose,governor,governorOppose,gwvoteimp,gwvoteimpOppose,happening,happeningOppose,harmplants,harmplantsOppose,harmus,harmusOppose,human,humanOppose,localofficials,localofficialsOppose,mediaweekly,mediaweeklyOppose,personal,personalOppose,president,presidentOppose,priority,prioritycleanenergy,prioritycleanenergyOppose,priorityOppose,rebates,rebatesOppose,reducetax,reducetaxOppose,regulate,regulateOppose,teachgw,teachgwOppose,timing,timingOppose,transitioneconomy,transitioneconomyOppose,worried,worriedOppose
county,25025,"Suffolk County, Massachusetts",25,655679,80.278,3.665,73.688,8.054,76.152,11.542,76.035,12.011,78.942,9.621,81.101,11.868,49.226,50.774,19.498,80.502,38.496,61.504,61.481,38.519,84.834,15.166,83.057,10.178,87.659,12.342,67.617,9.928,70.395,23.203,83.308,6.542,85.097,9.787,78.448,15.574,74.751,18.277,68.218,11.219,33.551,66.449,55.451,37.097,70.887,10.108,72.311,76.027,7.009,11.148,83.54,16.46,78.763,21.238,83.831,16.169,85.151,14.849,68.657,31.343,81.934,18.065,79.028,20.972
county,25027,"Worcester County, Massachusetts",27,682296,67.993,4.608,60.773,14.125,59.4,22.202,61.935,16.584,66.358,16.196,68.767,19.967,34.028,65.972,34.899,65.101,53.927,46.073,47.527,52.473,78.57,21.43,71.718,16.279,78.294,21.705,51.611,19.527,64.397,28.216,72.166,11.776,72.154,18.096,63.727,28.206,61.136,24.907,53.553,18.407,32.819,67.181,41.61,48.2,55.67,20.73,49.739,62.048,12.381,21.211,78.902,21.098,72.023,27.977,75.764,24.236,77.472,22.528,58.225,41.775,72.238,27.759,65.486,34.514
cd,2501,"Congressional District 1 (118th Congress), Massachusetts",,622553,70.276,5.159,60.17,14.197,61.686,19.546,62.696,19.368,68.501,16.438,65.872,22.132,37.884,62.116,26.807,73.193,49.284,50.716,51.25,48.75,77.564,22.436,73.092,16.873,79.322,20.677,54.722,18.234,58.101,33.405,73.759,12.877,74.535,17.177,64.076,27.98,60.878,27.152,55.192,17.268,30.454,69.546,43.81,46.692,57.571,18.154,54.771,65.826,10.5,21.25,77.237,22.763,69.788,30.211,76.575,23.425,79.079,20.921,59.342,40.658,71.756,28.243,63.385,36.615
cd,2502,"Congressional District 2 (118th Congress), Massachusetts",,620764,74.584,4.617,64.046,12.582,65.622,19.139,66.623,17.189,72.965,13.787,74.855,17.134,39.782,60.218,32.218,67.782,48.323,51.677,53.946,46.054,81.191,18.809,77.203,15.039,81.848,18.151,57.044,17.023,65.153,27.314,77.315,10.611,77.89,16.03,69.492,25.691,64.548,23.468,57.506,15.712,33.619,66.381,45.452,47.998,61.567,16.201,57.707,67.853,9.945,18.78,82.084,17.917,72.793,27.207,79.99,20.01,80.594,19.406,62.784,37.216,76.747,23.253,70.371,29.629
cd,2503,"Congressional District 3 (118th Congress), Massachusetts",,607150,70.607,5.192,64.572,10.481,63.616,14.91,61.918,18.255,70.066,12.25,71.269,20.004,38.005,61.995,29.115,70.885,51.689,48.311,52.286,47.714,81.363,18.637,76.094,15.33,82.17,17.83,55.459,14.988,60.586,31.004,73.316,10.477,75.869,16.842,67.206,26.961,64.036,24.692,54.275,15.213,31.66,68.34,45.082,47.715,60.721,14.692,55.328,65.293,9.214,19.564,79.702,20.298,71.242,28.757,78.099,21.901,79.53,20.47,58.879,41.121,74.43,25.57,68.713,31.287
cd,2504,"Congressional District 4 (118th Congress), Massachusetts",,613892,75.049,4.63,67.976,10.745,70.436,14.884,69.699,16.302,74.727,11.961,74.84,15.526,42.575,57.425,23.597,76.403,43.239,56.761,52.708,47.292,81.62,18.38,79.265,13.291,84.1,15.9,61.322,14.555,66.537,26.241,78.884,9.555,78.665,14.334,72.069,22.158,70.02,21.953,58.661,15.134,34.184,65.816,45.184,46.511,62.902,13.927,61.324,68.521,8.625,16.091,79.941,20.059,74.442,25.558,80.503,19.497,82.988,17.012,68.253,31.747,75.05,24.95,71.764,28.236
cd,2505,"Congressional District 5 (118th Congress), Massachusetts",,623870,79.448,3.683,72.274,8.799,72.32,12.624,73.985,13.316,78.593,10.277,79.065,13.382,50.165,49.835,21.975,78.024,41.996,58.004,60.17,39.83,86.361,13.639,82.524,10.628,86.963,13.037,63.225,11.619,65.219,26.837,81.008,8.348,82.589,10.941,75.08,19.392,70.368,20.386,61.927,12.311,40.269,59.731,54.791,37.849,66.385,11.975,65.805,75.368,6.286,12.703,83.043,16.957,76.912,23.088,83.08,16.92,87.409,12.592,70.455,29.545,82.303,17.698,76.602,23.398
cd,2506,"Congressional District 6 (118th Congress), Massachusetts",,621531,69.118,5.344,64.403,13.488,63.565,22.057,61.863,20.647,69.531,15.377,72.721,18.24,40.851,59.149,29.598,70.402,49.008,50.992,49.874,50.126,81.06,18.94,75.576,16.333,77.75,22.251,56.798,19.393,63.693,28.665,74.764,12.074,76.532,16.025,67.344,26.363,60.282,27.395,57.639,17.487,33.089,66.911,46.672,45.865,61.823,19.741,55.363,62.808,10.999,22.436,78.402,21.598,71.678,28.322,76.964,23.036,77.334,22.666,58.756,41.244,71.978,28.022,68.107,31.893
cd,2507,"Congressional District 7 (118th Congress), Massachusetts",,642878,83.586,2.882,75.301,7.502,78.444,9.406,77.693,10.079,80.981,8.942,82.855,9.809,51.77,48.23,18.331,81.668,36.591,63.408,66.812,33.188,87.206,12.794,85.027,7.973,88.219,11.78,70.286,8.894,70.796,21.813,85.246,4.706,85.928,8.183,80.11,13.683,77.754,15.884,70.059,9.866,35.041,64.959,59.859,32.009,74.401,8.352,74.755,79.15,5.475,8.869,86.059,13.941,83.501,16.499,86.174,13.826,88.379,11.621,73.412,26.588,87.792,12.208,81.792,18.208
cd,2508,"Congressional District 8 (118th Congress), Massachusetts",,631913,79.024,3.784,71.124,10.41,72.051,13.867,71.566,14.157,77.395,11.74,77.625,14.476,49.179,50.821,23.248,76.752,37.974,62.026,61.006,38.994,82.981,17.018,81.029,11.68,84.22,15.78,65.052,13.071,68.549,24.218,82.071,8.459,81.613,12.223,75.433,19.603,69.976,19.887,62.958,13.234,36.415,63.585,52.961,39.985,69.287,12.614,64.572,72.558,6.778,14.853,83.206,16.794,75.121,24.879,82.947,17.053,84.207,15.793,69.505,30.495,80.478,19.522,76.188,23.812
cd,2509,"Congressional District 9 (118th Congress), Massachusetts",,639445,72.739,5.559,64.215,11.165,65.668,17.27,64.586,20.816,72.899,11.237,71.424,20.124,39.812,60.188,29.81,70.19,50.578,49.422,50.618,49.382,79.895,20.105,76.075,16.323,81.301,18.698,55.282,15.502,55.89,35.21,76.731,10.759,76.227,16.388,67.079,27.022,60.871,29.149,56.951,15.893,36.484,63.516,43.607,49.043,59.497,14.746,54.813,67.905,9.27,17.653,81.017,18.983,69.718,30.282,78.961,21.039,78.576,21.424,63.102,36.898,71.46,28.539,67.302,32.699
cbsa,15940,"Canton-Massillon, OH Metro Area",,314122,60.502,7.071,54.184,17.364,55.227,25.357,49.565,25.492,63.714,15.841,60.347,24.876,31.234,68.766,39.357,60.644,60.574,39.426,39.195,60.805,72.257,27.743,65.002,21.596,75.564,24.436,51.273,20.312,49.908,40.213,65.321,17.019,63.19,24.231,56.18,32.79,53.077,32.679,49.251,20.451,25.65,74.35,36.028,53.179,50.234,24.051,45.532,55.686,15.147,30.138,73.86,26.14,60.514,39.486,70.941,29.059,71.042,28.958,50.727,49.273,56.866,43.134,56.797,43.203
cbsa,32390,"Massena-Ogdensburg, NY Micro Area",,86108,63.717,6.267,57.537,15.864,57.12,24.141,53.205,24.659,66.055,15.354,63.519,25.425,32.266,67.733,35.541,64.459,57.25,42.749,41.576,58.424,75.965,24.034,68.47,21.209,73.705,26.295,51.221,23.64,52.126,37.626,68.611,16.847,68.015,22.847,58.814,32.956,55.611,32.187,51.951,20.217,28.542,71.458,37.957,51.783,53.603,21.729,47.768,59.237,14.08,27.26,75.152,24.848,63.369,36.631,74.191,25.809,74.379,25.62,53.745,46.255,57.062,42.938,58.783,41.217
